NB9QV,USS,Cobia,Submarine,"Manitowoc, WI"
NE1PL,USS,Massachusetts,Battleship,"Fall River, MA"
NE6JP ,USS,Potomac,CG Cutter/ Pres. Yacht,"Oakland, CA"
NI4BK,USS,North Carolina,Battleship,"Wilmington, NC"
NI6BB,USS,Iowa,Battleship,"San Pedro, CA"
NI6IW  ,USS,Midway,Aircraft Carrier,"San Diego, CA"
NJ2BB  (8am-5pm both days),USS,New Jersey,Battleship,"Camden, NJ"
NJ6VT,USS,Pampanito,Submarine,"San Francisco, CA"
NM1JY ,USS,Albacore,Submarine,"Portsmouth, NH"
NM8GS,LS,Huron,Lightship,"Port Huron, MI"
NR4DL,USCG,Ingham,CG Cutter ,"Key West, FL"
NR7WL,The,Fin Project,Submarine Fin Memorials,"Seattle, WA"
NS7DD,USS,Turner Joy,Destroyer,"Bremerton, WA"
NT4HI,USS,Laffey,Destroyer,"Charleston , SC"
OE3XNO  (Jun 2 only),PB,Niederoesterreich,River Patrol Boat,"Danube/Vienna, Austria"
OE6XMF/9 ,SS,Hohentwiel,Paddle Steamer,"Bodensee, Austria"
ON9BD  ,Lightship 3,West-Hinder,Lightship,"Antwerp, Belgium"
OZ1RDN,HDMS,Peder Skram,Frigate,"Copenhagen, Denmark"
PA38AC,HNLMS,Abraham Crijnssen,Minesweeper,"Den Helder, NL"
PA6PARE,HNMS,Mercuur,Minesweeper,"Port of Vlissingen, NL"
PI4HAL,SS,Rotterdam,Passenger Ship,Port of Rotterdam
R1LK,,Krasin,Icebreaker,"St. Petersburg, Russia"
RU3AWK ,,Novosibirskij Komsomolec (B-396),Submarine 641-b,"Moscow, Russia "
SZ1AB,HS,Georgios Averof,Battleship,"Paleo Faliro, Greece"
TM2FLO,,Flore - S645,Submarine,"Lorient, France"
VA2GNQ,HMCS,Onondaga,Submarine,"Pointe-au-Pere, Quebec, Canada"
VA3QV,SS,Keewatin,Passenger Steamship,"Kingston, ON"
VB2MMQC,,Ernest-Lapointe,Icebreaker,"L'islet, Qc, Canada"
VE0CNM,HMCS,Sackville,Flower Class Corvette,"Halifax, Nova Scotia"
VE0MMA,CSS,Acadia,Survey Vessel,"Halifax, Nova Scotia"
VK2VMP,HMAS,Vampire,Destroyer,"Sydney, Australia"
VK4GLA ,HMAS,Gladstone,Patrol Boat (Fremantle Class),"Gladstone QLD, Australia"
W0GKP,SS,William A Irvin,Bulk Ore Carrier,"Duluth, MN"
W1E,,Evaline M Goulart,Fishing Schooner,"Essex, MA"
W1HNJ,SS,Hope Memorial Station,Hospital Ship Memorial,"Chatham, MA"
W1WCC,,Chatham Radio/WCC Station,Maritime Radio Station,"Chatham, MA"
W1WQM,USS,Thresher Memorial,Submarine Memorial,"Kittery, ME"
W2AQ,LS,Ambrose,Lightship,"East River, NY City, NY"
W2C,USS,Ticonderoga (1814),Schooner,"Whitehall, NY"
W2LGA,USAT,LT-5,Tugboat/Cargo Transport,"Oswego, NY"
W2PE,USS,Littlerock,Cruiser,"Buffalo, NY"
W4AVM,SS,American Victory,Victory Ship,"Tampa, FL"
W4BSF,USS,Tennessee Museum,Battleship Museum,"Oneida, TN"
W4NNK ,,Claud W Somers,Chesapeake Bay Skipjack,"Reedville, VA"
W5LEX,USS,Lexington,Aircraft Carrier,"Corpus Christi, TX"
W5MSQ  ,SS,Selma,Merchant ship WWI (Concrete Hull),"Galveston, TX"
W6RO   ,RMS,Queen Mary,Passenger Ship,"Long Beach, CA"
W7SUB,USS,Blueback,Submarine,"Portland, OR"
W8AGB,USCGC,Mackinaw (WAGB-83) Maritime Museum,Icebreaker,"Mackinaw City, MI"
W8COD,USS,Cod,Submarine,"Cleveland, OH"
W8EDS,USS,Edson,Destroyer,"Bay City, MI"
WA3BAT,USS,Olympia,Cruiser,"Philadelphia, PA"
WA4USN ,USS,Yorktown,Aircraft Carrier,"Charleston , SC"
WD4PBR  ,MK1,"PBR, #105",River Patrol Boat,"Charleston , SC"
WW2DD (Sat only 9am-3pm EST),USS,Cassin Young,Destroyer,"Boston, MA"
WW2DEM,USS,Slater DE766,Destroyer Escort,"Albany, NY"
WW2IND ,USS,Indianapolis Memorial,Cruiser,"Indianapolis, IN"
WW2LST,,LST 325,LST,"Evansville, IN"
WW2OK ,USS,Oklahoma Mast Memorial,Battleship  Mast Memorial,"Muskogee, OK"
WW2SUB,USS,Batfish,Submarine,"Muskogee, OK"
ZL2KS,,Edwin Fox Museum,Merchant Ship,"Picton, Ne Zealand"
